date,product,time,bid,bs,ask,as
-2,AMETHYSTS,0,10002,1,10004,2
,STARFRUIT,0,5002,1,5003,31
,AMETHYSTS,100,9996,2,10004,2
,STARFRUIT,100,4997,24,5003,2
,STARFRUIT,200,4997,2,5003,20
,AMETHYSTS,200,9995,20,10005,20
,AMETHYSTS,300,9996,2,10004,2
,STARFRUIT,300,4996,31,5003,31
,AMETHYSTS,400,9996,2,10004,2
,STARFRUIT,400,4995,27,5002,27
,AMETHYSTS,500,9995,30,10002,4
,STARFRUIT,500,4996,30,5003,30
,STARFRUIT,600,4999,5,5003,25
,AMETHYSTS,600,10000,5,10005,25
,AMETHYSTS,700,9995,23,10005,23
,STARFRUIT,700,4997,2,5003,23
,AMETHYSTS,800,9996,1,10004,1
,STARFRUIT,800,4997,30,5003,1
,AMETHYSTS,900,9996,1,10004,1
,STARFRUIT,900,4997,23,5003,1
,STARFRUIT,1000,4996,26,5001,6
,AMETHYSTS,1000,9995,26,10005,26
,STARFRUIT,1100,4998,6,5004,26
,AMETHYSTS,1100,9996,2,10004,2
,AMETHYSTS,1200,9995,21,9998,1
,STARFRUIT,1200,4997,21,5002,8
,STARFRUIT,1300,4997,31,5003,1
,AMETHYSTS,1300,10002,1,10004,1
,STARFRUIT,1400,4997,3,5003,26
,AMETHYSTS,1400,9996,1,10004,1
,STARFRUIT,1500,4996,27,5003,27
,AMETHYSTS,1500,9995,27,10005,27
,AMETHYSTS,1600,9995,29,10005,29
,STARFRUIT,1600,4996,29,5001,4
,STARFRUIT,1700,4997,22,5002,8
,AMETHYSTS,1700,9996,2,10002,1
,STARFRUIT,1800,4997,1,5003,23
,AMETHYSTS,1800,10002,1,10004,1
,STARFRUIT,1900,4997,1,5001,5
,AMETHYSTS,1900,9996,1,10004,1
,AMETHYSTS,2000,9996,2,9998,1
,STARFRUIT,2000,4996,26,5003,26
,STARFRUIT,2100,4997,2,5003,27
,AMETHYSTS,2100,9996,2,10002,3
,STARFRUIT,2200,4997,1,5001,7
,AMETHYSTS,2200,9998,8,10004,1
,STARFRUIT,2300,4997,32,5003,2
,AMETHYSTS,2300,9998,7,10004,2
,AMETHYSTS,2400,9995,29,10005,29
,STARFRUIT,2400,4997,28,5004,29
,STARFRUIT,2500,4997,3,5003,23
,AMETHYSTS,2500,9996,1,10004,1
,STARFRUIT,2600,4998,3,5004,23
,AMETHYSTS,2600,9995,23,10005,23
,STARFRUIT,2700,4998,26,5005,26
,AMETHYSTS,2700,9998,6,10005,26
,AMETHYSTS,2800,9995,25,10005,25
,STARFRUIT,2800,4997,25,5004,25
,STARFRUIT,2900,4996,26,5003,26
,AMETHYSTS,2900,9996,1,10004,1
,STARFRUIT,3000,4997,3,5003,26
,AMETHYSTS,3000,9998,1,10005,26
,STARFRUIT,3100,4996,26,5001,5
,AMETHYSTS,3100,9996,2,10004,2
,AMETHYSTS,3200,9996,1,10004,1
,STARFRUIT,3200,4996,23,5001,3
,STARFRUIT,3300,4997,2,5001,2
